"","X","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","gifted_talented_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities","treatment_indicator","new_outcome_labelled","ps","iptw","stable.iptw"
"487",4921,"24Q119",93,"SWD",0.742,"Queens",1,1,0.489,0.018,0.511,0.394,1277,0.472,28.6,0.087,0,"SC",0.292911702486195,1.41425053068493,1.09630633954034
"488",4933,"24Q128",96.9,"SWD",0.368,"Queens",1,0,0.489,0.005,0.511,0.762,969,0.26,0,0.142,0,"SC",0.536990638558754,2.159783544953,1.67423263487847
"489",4951,"24Q143",93.4,"SWD",0.956,"Queens",1,0,0.499,0.015,0.501,0.009,1484,0.914,16.3,0.232,0,"SC",0.169641521071503,1.20429913751276,0.933555088375181
"490",4963,"24Q153",94.8,"SWD",0.715,"Queens",1,1,0.532,0.007,0.468,0.437,1204,0.585,14.3,0.179,0,"SC",0.207083619676153,1.26116703452585,0.977638250911866
"491",4975,"24Q199",92.9,"SWD",0.713,"Queens",1,0,0.504,0.03,0.496,0.068,898,0.756,18.9,0.18,0,"SC",0.382440813865921,1.61927799383894,1.25524063212764
"492",4986,"24Q229",94.6,"SWD",0.718,"Queens",1,1,0.53,0.015,0.47,0.21,1469,0.579,16.9,0.217,0,"SC",0.20614667434855,1.25967854222867,0.976484393440114
"493",4997,"24Q239",92.3,"SWD",0.938,"Queens",1,0,0.555,0.012,0.445,0.066,564,0.873,28.6,0.25,0,"SC",0.10039486575431,1.11159881367117,0.861695152317199
"494",5006,"24Q290",95.1,"SWD",0.668,"Queens",0,1,0.513,0.031,0.487,0.29,542,0.579,0,0.107,1,"no SC",0.374845389943475,2.66776656944026,1.01206569195206
"495",5017,"24Q305",92.4,"SWD",0.875,"Queens",1,0,0.534,0.02,0.466,0.121,614,0.784,23.5,0.261,0,"SC",0.125351989284488,1.14331706897949,0.886282680212155
"496",5031,"24Q307",96.1,"SWD",0.975,"Queens",1,0,0.511,0.007,0.489,0.015,934,0.887,9.4,0.228,0,"SC",0.138210973564697,1.16037680838939,0.899507140843559
"497",5040,"24Q330",93.9,"SWD",0.941,"Queens",1,1,0.517,0.036,0.483,0.012,590,0.869,16.1,0.208,0,"SC",0.159868555672351,1.19028993230969,0.922695357271801
"498",5044,"25Q020",93,"SWD",0.938,"Queens",1,0,0.514,0.044,0.486,0.016,1314,0.846,22.2,0.13,0,"SC",0.211026167454309,1.26746915898771,0.982523565677675
"499",5057,"25Q021",95.7,"SWD",0.787,"Queens",1,1,0.502,0.012,0.498,0.059,1425,0.658,11.8,0.12,0,"SC",0.319187042286256,1.46883220812678,1.13861725808267
"500",5074,"25Q022",94.7,"SWD",0.911,"Queens",0,0,0.506,0.005,0.494,0.033,921,0.782,14.3,0.117,1,"no SC",0.237035974840465,4.21876890490164,1.60046659248037
"501",5088,"25Q024",96.2,"SWD",0.722,"Queens",1,0,0.518,0.022,0.482,0.011,992,0.739,13.3,0.129,0,"SC",0.399466765851946,1.66518677591366,1.29082844895152
"502",5098,"25Q029",93.7,"SWD",0.878,"Queens",1,0,0.514,0.007,0.486,0.098,728,0.727,20,0.18,0,"SC",0.181542346888311,1.22181031138032,0.94712949439962
"503",5107,"25Q032",93.7,"SWD",0.683,"Queens",1,1,0.49,0.008,0.51,0.099,980,0.578,31.6,0.107,0,"SC",0.442699123942005,1.79436287104623,1.39096386975445
"504",5116,"25Q079",93,"SWD",0.537,"Queens",1,1,0.52,0.005,0.48,0.276,1136,0.417,15.6,0.129,0,"SC",0.431766331072105,1.75983940178472,1.36420178100629
"505",5129,"25Q107",94.9,"SWD",0.768,"Queens",1,0,0.532,0.012,0.468,0.106,970,0.596,11.1,0.169,0,"SC",0.214310966073847,1.27276817776483,0.986631287578888
"506",5143,"25Q120",95.7,"SWD",0.767,"Queens",1,0,0.515,0.005,0.485,0.007,1034,0.786,4.2,0.128,0,"SC",0.374600071181404,1.59897683693223,1.23950347203193
"507",5157,"25Q129",93.5,"SWD",0.782,"Queens",1,0,0.524,0.018,0.476,0.115,1094,0.642,23.5,0.166,0,"SC",0.229883642047083,1.29850507611362,1.00658215498724
"508",5163,"25Q130",95.2,"SWD",0.484,"Queens",1,0,0.521,0.038,0.479,0.189,397,0.418,0,0.156,0,"SC",0.482772998094326,1.93338707437082,1.4987334000798
"509",5180,"25Q154",93.4,"SWD",0.829,"Queens",1,0,0.53,0.092,0.47,0.113,673,0.696,20.8,0.168,0,"SC",0.191225209353778,1.23643814268863,0.958468775417431
"510",5188,"25Q163",92.9,"SWD",0.808,"Queens",1,0,0.54,0.016,0.46,0.016,804,0.69,36.4,0.134,0,"SC",0.236207574385872,1.30925624091644,1.01491630079453
"511",5197,"25Q164",92.7,"SWD",0.74,"Queens",1,0,0.496,0.048,0.504,0.346,693,0.557,12.5,0.159,0,"SC",0.256328143500129,1.34467909637801,1.04237558057881
"512",5205,"25Q165",92.7,"SWD",0.73,"Queens",1,1,0.514,0.107,0.486,0.126,767,0.634,21.7,0.231,0,"SC",0.231952948630929,1.30200356634071,1.00929413347448
"513",5224,"25Q169",93.4,"SWD",0.342,"Queens",0,0,0.474,0.052,0.526,0.351,445,0.282,22.2,0.18,1,"no SC",0.643892653357456,1.55305390546963,0.589179200865296
"514",5236,"25Q184",94.4,"SWD",0.469,"Queens",0,0,0.496,0,0.504,0.405,514,0.37,13.3,0.179,1,"no SC",0.470686704300926,2.124555443913,0.805988687340611
"515",5241,"25Q193",93.2,"SWD",0.383,"Queens",1,1,0.528,0.007,0.472,0.586,587,0.282,18.8,0.145,0,"SC",0.472352711016456,1.89520541634241,1.46913553687063
"516",5253,"25Q200",94.6,"SWD",0.724,"Queens",0,0,0.51,0.216,0.49,0.144,522,0.552,18.2,0.172,1,"no SC",0.252996699056179,3.95262074062849,1.49949845339263
